BorrowFrequency,CategoryAffinity,BookPopularity,RecommendationScore
0.0,0.0,0.0,0.33986393
0.0,0.0,21.052631,0.42187974
0.0,0.0,42.105263,0.42629367
0.0,0.0,63.157894,0.43935654
0.0,0.0,84.210526,0.4521518
0.0,0.0,105.26316,0.46545038
0.0,0.0,126.31579,0.4776439
0.0,0.0,147.36842,0.48986408
0.0,0.0,168.42105,0.50209343
0.0,0.0,189.47368,0.5143196
0.0,0.0,210.52632,0.5265286
0.0,0.0,231.57895,0.53870606
0.0,0.0,252.63158,0.55083746
0.0,0.0,273.6842,0.5629085
0.0,0.0,294.73685,0.5749058
0.0,0.0,315.78946,0.58681524
0.0,0.0,336.8421,0.598624
0.0,0.0,357.89474,0.61031955
0.0,0.0,378.94736,0.62188953
0.0,0.0,400.0,0.6333222
0.0,2.1052632,0.0,0.33811593
0.0,2.1052632,21.052631,0.42023137
0.0,2.1052632,42.105263,0.42440838
0.0,2.1052632,63.157894,0.4376088
0.0,2.1052632,84.210526,0.45087463
0.0,2.1052632,105.26316,0.4638942
0.0,2.1052632,126.31579,0.47608325
0.0,2.1052632,147.36842,0.48830083
0.0,2.1052632,168.42105,0.5005301
0.0,2.1052632,189.47368,0.5127573
0.0,2.1052632,210.52632,0.5249694
0.0,2.1052632,231.57895,0.5371516
0.0,2.1052632,252.63158,0.5492896
0.0,2.1052632,273.6842,0.5613696
0.0,2.1052632,294.73685,0.5733767
0.0,2.1052632,315.78946,0.58529806
0.0,2.1052632,336.8421,0.5971206
0.0,2.1052632,357.89474,0.6088309
0.0,2.1052632,378.94736,0.62041795
0.0,2.1052632,400.0,0.6318688
0.0,4.2105265,0.0,0.33650014
0.0,4.2105265,21.052631,0.41858476
0.0,4.2105265,42.105263,0.42252523
0.0,4.2105265,63.157894,0.4358626
0.0,4.2105265,84.210526,0.44959807
0.0,4.2105265,105.26316,0.46233878
0.0,4.2105265,126.31579,0.4745231
0.0,4.2105265,147.36842,0.48673782
0.0,4.2105265,168.42105,0.49896657
0.0,4.2105265,189.47368,0.51119477
0.0,4.2105265,210.52632,0.5234096
0.0,4.2105265,231.57895,0.53559643
0.0,4.2105265,252.63158,0.547741
0.0,4.2105265,273.6842,0.5598288
0.0,4.2105265,294.73685,0.57184637
0.0,4.2105265,315.78946,0.58377934
0.0,4.2105265,336.8421,0.5956152
0.0,4.2105265,357.89474,0.6073409
0.0,4.2105265,378.94736,0.61894387
0.0,4.2105265,400.0,0.6304128
0.0,6.3157897,0.0,0.33470312
0.0,6.3157897,21.052631,0.41694006
0.0,6.3157897,42.105263,0.42064437
0.0,6.3157897,63.157894,0.434118
0.0,6.3157897,84.210526,0.44819695
0.0,6.3157897,105.26316,0.46078402
0.0,6.3157897,126.31579,0.47296342
0.0,6.3157897,147.36842,0.48517513
0.0,6.3157897,168.42105,0.49740323
0.0,6.3157897,189.47368,0.5096321
0.0,6.3157897,210.52632,0.52184945
0.0,6.3157897,231.57895,0.53404075
0.0,6.3157897,252.63158,0.5461913
0.0,6.3157897,273.6842,0.5582872
0.0,6.3157897,294.73685,0.5703142
0.0,6.3157897,315.78946,0.582259
0.0,6.3157897,336.8421,0.59410805
0.0,6.3157897,357.89474,0.6058487
0.0,6.3157897,378.94736,0.6174678
0.0,6.3157897,400.0,0.6289546
0.0,8.421053,0.0,0.33305466
0.0,8.421053,21.052631,0.41513228
0.0,8.421053,42.105263,0.4187658
0.0,8.421053,63.157894,0.432375
0.0,8.421053,84.210526,0.4465652
0.0,8.421053,105.26316,0.45922983
0.0,8.421053,126.31579,0.47140422
0.0,8.421053,147.36842,0.4836125
0.0,8.421053,168.42105,0.49584004
0.0,8.421053,189.47368,0.50806904
0.0,8.421053,210.52632,0.5202887
0.0,8.421053,231.57895,0.5324841
0.0,8.421053,252.63158,0.5446407
0.0,8.421053,273.6842,0.5567446
0.0,8.421053,294.73685,0.5687814
0.0,8.421053,315.78946,0.58073735
0.0,8.421053,336.8421,0.5925993
0.0,8.421053,357.89474,0.60435414
0.0,8.421053,378.94736,0.6159896
0.0,8.421053,400.0,0.62749416
0.0,10.526316,0.0,0.332243
0.0,10.526316,21.052631,0.41325292
0.0,10.526316,42.105263,0.41688958
0.0,10.526316,63.157894,0.4306337
0.0,10.526316,84.210526,0.44493487
0.0,10.526316,105.26316,0.45767674
0.0,10.526316,126.31579,0.4698456
0.0,10.526316,147.36842,0.4820504
0.0,10.526316,168.42105,0.49427664
0.0,10.526316,189.47368,0.5065061
0.0,10.526316,210.52632,0.5187278
0.0,10.526316,231.57895,0.530927
0.0,10.526316,252.63158,0.5430894
0.0,10.526316,273.6842,0.5552009
0.0,10.526316,294.73685,0.56724685
0.0,10.526316,315.78946,0.579214
0.0,10.526316,336.8421,0.59108853
0.0,10.526316,357.89474,0.602858
0.0,10.526316,378.94736,0.61450934
0.0,10.526316,400.0,0.6260312
0.0,12.631579,0.0,0.3315847
0.0,12.631579,21.052631,0.41150385
0.0,12.631579,42.105263,0.4150158
0.0,12.631579,63.157894,0.42864558
0.0,12.631579,84.210526,0.44330555
0.0,12.631579,105.26316,0.45612442
0.0,12.631579,126.31579,0.4682876
0.0,12.631579,147.36842,0.48048857
0.0,12.631579,168.42105,0.49271286
0.0,12.631579,189.47368,0.5049429
0.0,12.631579,210.52632,0.5171664
0.0,12.631579,231.57895,0.5293693
0.0,12.631579,252.63158,0.54153717
